"created_date","modified_date","stage_pk","stage_name","stage_type","stage_slug","tournament_id"
2023-10-21 23:39:08.508 -0600,2023-10-21 23:39:08.508 -0600,204,regional_qualifier,,regional_qualifier,96
2023-10-21 23:39:08.586 -0600,2023-10-21 23:39:08.586 -0600,205,Regular Season,,regular_season,97
2023-10-21 23:39:09.660 -0600,2023-10-21 23:39:09.660 -0600,206,Playoffs,,playoffs,97
2023-10-21 23:39:09.719 -0600,2023-10-21 23:39:09.719 -0600,207,Regular Season,,regular_season,98
2023-10-21 23:39:10.185 -0600,2023-10-21 23:39:10.185 -0600,208,Regular Season,,regular_season,99
2023-10-21 23:39:10.987 -0600,2023-10-21 23:39:10.987 -0600,209,Playoffs,,playoffs,99
2023-10-21 23:39:11.085 -0600,2023-10-21 23:39:11.085 -0600,210,Regular Season,,regular_season,100
2023-10-21 23:39:12.446 -0600,2023-10-21 23:39:12.446 -0600,211,Playoffs,,playoffs,100
2023-10-21 23:39:12.536 -0600,2023-10-21 23:39:12.536 -0600,212,Regular Season,,regular_season,101
2023-10-21 23:39:13.795 -0600,2023-10-21 23:39:13.795 -0600,213,Playoffs,,playoffs,101
2023-10-21 23:39:13.896 -0600,2023-10-21 23:39:13.896 -0600,214,Regular Season,,regular_season,102
2023-10-21 23:39:14.629 -0600,2023-10-21 23:39:14.629 -0600,215,Playoffs,,playoffs,102
2023-10-21 23:39:14.697 -0600,2023-10-21 23:39:14.697 -0600,216,Round 1,,round_1,103
2023-10-21 23:39:15.427 -0600,2023-10-21 23:39:15.427 -0600,217,Round 2,,round_2,103
2023-10-21 23:39:15.575 -0600,2023-10-21 23:39:15.575 -0600,218,Playoffs,,playoffs,103
2023-10-21 23:39:15.625 -0600,2023-10-21 23:39:15.625 -0600,219,Regular Season,,regular_season,104
2023-10-21 23:39:16.074 -0600,2023-10-21 23:39:16.074 -0600,220,Playoffs,,playoffs,104
2023-10-21 23:39:16.120 -0600,2023-10-21 23:39:16.120 -0600,221,Regular Season,,regular_season,105
2023-10-21 23:39:16.557 -0600,2023-10-21 23:39:16.557 -0600,222,Playoffs,,playoffs,105
2023-10-21 23:39:16.687 -0600,2023-10-21 23:39:16.687 -0600,223,Regular Season,,regular_season,106
2023-10-21 23:39:17.544 -0600,2023-10-21 23:39:17.544 -0600,224,Playoffs,,playoffs,106
2023-10-21 23:39:17.600 -0600,2023-10-21 23:39:17.600 -0600,225,Regular Season,,regular_season,107
2023-10-21 23:39:19.392 -0600,2023-10-21 23:39:19.392 -0600,226,Playoffs,,playoffs,107
2023-10-21 23:39:19.448 -0600,2023-10-21 23:39:19.448 -0600,227,Regular Season,,regular_season,108
2023-10-21 23:39:20.200 -0600,2023-10-21 23:39:20.200 -0600,228,Playoffs,,playoffs,108
2023-10-21 23:39:20.252 -0600,2023-10-21 23:39:20.252 -0600,229,Regular Season,,regular_season,109
2023-10-21 23:39:20.932 -0600,2023-10-21 23:39:20.932 -0600,230,Playoffs,,playoffs,109
2023-10-21 23:39:20.995 -0600,2023-10-21 23:39:20.995 -0600,231,Regular Season,,regular_season,110
2023-10-21 23:39:21.384 -0600,2023-10-21 23:39:21.384 -0600,232,Playoffs,,playoffs,110
2023-10-21 23:39:21.426 -0600,2023-10-21 23:39:21.426 -0600,233,Regular Season,,regular_season,111
2023-10-21 23:39:21.742 -0600,2023-10-21 23:39:21.742 -0600,234,Playoffs,,playoffs,111
2023-10-21 23:39:21.786 -0600,2023-10-21 23:39:21.786 -0600,235,Play In Groups,,play_in_groups,112
2023-10-21 23:39:22.412 -0600,2023-10-21 23:39:22.412 -0600,236,Play In Knockouts,,play_in_elim,112
2023-10-21 23:39:22.472 -0600,2023-10-21 23:39:22.472 -0600,237,Groups,,groups,112
2023-10-21 23:39:23.193 -0600,2023-10-21 23:39:23.193 -0600,238,Knockouts,,elim,112
2023-10-21 23:39:23.282 -0600,2023-10-21 23:39:23.282 -0600,239,Groups,,groups,113
2023-10-21 23:39:23.578 -0600,2023-10-21 23:39:23.578 -0600,240,knockouts,,knockouts,113
2023-10-21 23:39:23.682 -0600,2023-10-21 23:39:23.682 -0600,241,Play In Groups,,play_in_groups,114
2023-10-21 23:39:23.989 -0600,2023-10-21 23:39:23.989 -0600,242,Play In Knockouts,,play_in_elim,114
2023-10-21 23:39:24.046 -0600,2023-10-21 23:39:24.046 -0600,243,Groups,,groups,114
2023-10-21 23:39:24.908 -0600,2023-10-21 23:39:24.908 -0600,244,Playoffs,,playoffs,114
2023-10-21 23:39:25.030 -0600,2023-10-21 23:39:25.030 -0600,245,Round 1,,round_1,115
2023-10-21 23:39:25.526 -0600,2023-10-21 23:39:25.526 -0600,246,Round 2,,round_2,115
2023-10-21 23:39:25.929 -0600,2023-10-21 23:39:25.929 -0600,247,Playoffs,,playoffs,115
2023-10-21 23:39:26.088 -0600,2023-10-21 23:39:26.088 -0600,248,Regular Season,,regular_season,116
2023-10-21 23:39:26.967 -0600,2023-10-21 23:39:26.967 -0600,249,Playoffs,,playoffs,116
2023-10-21 23:39:27.051 -0600,2023-10-21 23:39:27.051 -0600,250,Regular Season,,regular_season,117
2023-10-21 23:39:27.673 -0600,2023-10-21 23:39:27.673 -0600,251,Playoffs,,playoffs,117
2023-10-21 23:39:27.743 -0600,2023-10-21 23:39:27.743 -0600,252,Regular Season,,regular_season,118
2023-10-21 23:39:28.456 -0600,2023-10-21 23:39:28.456 -0600,253,Playoffs,,playoffs,118
2023-10-21 23:39:28.545 -0600,2023-10-21 23:39:28.545 -0600,254,Play In Groups,,play_in_groups,119
2023-10-21 23:39:29.334 -0600,2023-10-21 23:39:29.334 -0600,255,Play In Knockouts,,play_in_elim,119
2023-10-21 23:39:29.402 -0600,2023-10-21 23:39:29.402 -0600,256,Regional Finals,,regional_finals,120
2023-10-21 23:39:29.488 -0600,2023-10-21 23:39:29.488 -0600,257,Regular Season,,regular_season,121
